Date,Game Time (ET),Home Team,Away Team,Probable Pitcher ID (Home),Probable Pitcher ID (Away),Game ID,Venue ID,Venue Name
2026-06-13,02:10 PM,MIN,STL,687570,669461,823694,3312,Target Field
2026-06-13,03:07 PM,TOR,NYY,592332,693645,822802,14,Rogers Centre
2026-06-13,04:05 PM,BAL,SD,694346,681190,824828,2,Oriole Park at Camden Yards
2026-06-13,04:05 PM,WSH,SEA,676917,622491,822725,3309,Nationals Park
2026-06-13,04:05 PM,PIT,MIA,696149,669199,823369,31,PNC Park
2026-06-13,04:10 PM,CIN,AZ,695076,647336,824508,2602,Great American Ball Park
2026-06-13,04:10 PM,CLE,DET,676282,669373,824426,5,Progressive Field
2026-06-13,04:10 PM,BOS,TEX,624133,594798,824749,3,Fenway Park
2026-06-13,04:10 PM,NYM,ATL,,527048,823616,3289,Citi Field
2026-06-13,04:10 PM,CWS,LAD,680732,808967,824587,4,Rate Field
2026-06-13,07:10 PM,KC,HOU,702070,681347,824100,7,Kauffman Stadium
2026-06-13,07:10 PM,MIL,PHI,675660,605400,823776,32,American Family Field
2026-06-13,10:05 PM,ATH,COL,683155,607536,824995,5355,Las Vegas Ballpark
2026-06-13,10:05 PM,SF,CHC,686790,676962,823213,2395,Oracle Park
2026-06-13,10:07 PM,LAA,TB,667755,643377,824019,1,Angel Stadium
2026-06-14,12:15 PM,PIT,MIA,694973,676974,823368,31,PNC Park
2026-06-14,01:35 PM,BAL,SD,669432,621111,824823,2,Oriole Park at Camden Yards
2026-06-14,01:35 PM,WSH,SEA,571945,676106,822722,3309,Nationals Park
2026-06-14,01:37 PM,TOR,NYY,571578,701542,822801,14,Rogers Centre
2026-06-14,01:40 PM,CIN,AZ,671096,668678,824506,2602,Great American Ball Park
2026-06-14,01:40 PM,CLE,DET,668909,663554,824424,5,Progressive Field
2026-06-14,01:40 PM,NYM,ATL,642547,693821,823615,3289,Citi Field
2026-06-14,02:10 PM,KC,HOU,663568,681293,824099,7,Kauffman Stadium
2026-06-14,02:10 PM,MIN,STL,671737,700241,823693,3312,Target Field
2026-06-14,02:10 PM,CWS,LAD,607200,686218,824586,4,Rate Field
2026-06-14,02:10 PM,MIL,PHI,690986,650911,823777,32,American Family Field
2026-06-14,03:05 PM,ATH,COL,605488,608372,824994,5355,Las Vegas Ballpark
2026-06-14,03:10 PM,SF,CHC,657277,607067,823212,2395,Oracle Park
2026-06-14,04:07 PM,LAA,TB,680570,,824021,1,Angel Stadium
2026-06-14,07:20 PM,BOS,TEX,813349,543135,824751,3,Fenway Park
