Team,Batter ID,Player Name,Position,Injury Description,Expected Return,Severity,Status
ATH,667670,Brent Rooker,DH,Bone bruise in left knee.,,🟢,Injured 60-Day
ATH,621139,Brooks Kriske,P,Right shoulder impingement,,⚪,Injured 60-Day
ATH,672016,Denzel Clarke,CF,Mid foot bone bruise in right foot.,,🟢,Injured 60-Day
ATH,680684,Gunnar Hoglund,P,Sprained right knee.,,🟡,Injured 60-Day
ATH,605488,Jeffrey Springs,P,Right hip discomfort.,,⚪,Injured 15-Day
ATH,811965,Joshua Kuroda-Grauer,3B,Ruptured testicle surgery.,,🔴,Injured 10-Day
ATH,686993,Justin Sterner,P,Right knee chondromalacia,,⚪,Injured 15-Day
ATH,622663,Luis Severino,P,Right shoulder strain.,,🟡,Injured 60-Day
ATH,643410,Mark Leiter Jr.,P,Right hip impingement.,,⚪,Injured 60-Day
ATH,701762,Nick Kurtz,1B,Strained right thumb.,,🟡,Injured 10-Day
ATH,669127,Shea Langeliers,C,Torn meniscus in right knee.,,⚪,Injured 10-Day
ATH,680869,Zack Gelof,3B,Right knee laceration.,,⚪,Injured 10-Day
ATL,641729,Joe Jiménez,P,Injured 60-Day,,⚪,Injured 60-Day
ATL,666214,Joey Wentz,P,Right knee ACL tear.,,🔴,Injured 60-Day
ATL,625643,Reynaldo López,P,Left knee inflammation.,,🟡,Injured 15-Day
ATL,663158,Robert Suarez,P,Right forearm tightness.,,🟢,Injured 15-Day
ATL,680885,Spencer Schwellenbach,P,Injured 60-Day,,⚪,Injured 60-Day
ATL,675911,Spencer Strider,P,Right elbow inflammation.,,🟡,Injured 60-Day
AZ,640462,A.J. Puk,P,Left ulnar collateral ligament surgery recovery.,,🔴,Injured 60-Day
AZ,685314,Andrew Saalfrank,P,Left labrum repair surgery.,,🔴,Injured 60-Day
AZ,686796,Blake Walston,P,Left UCL surgery,,🔴,Injured 60-Day
AZ,669203,Corbin Burnes,P,Right ulnar collateral ligament surgery recovery.,,🔴,Injured 60-Day
AZ,691441,Cristian Mena,P,Right shoulder strain,,🟡,Injured 60-Day
AZ,686753,Drey Jameson,P,Right hip inflammation.,,🟡,Injured 15-Day
AZ,691783,Jordan Lawlar,LF,Right hamstring strain,,🟡,Injured 10-Day
AZ,679885,Justin Martinez,P,Recovery from right ulnar collateral ligament surgery.,,🔴,Injured 60-Day
AZ,666971,Lourdes Gurriel Jr.,LF,Right adductor strain,,🟡,Injured 10-Day
AZ,647336,Michael Soroka,P,Left glute strain,,🟡,Injured 15-Day
