grade,stars,batting_team,batter,batter_hand,lineup_slot,lineup_confirmed,pitcher_weak_slots,in_pitcher_weak_slot,pitcher,pitcher_hand,pitcher_team,home_team,away_team,top_pitches,game_time,game_id,total_flags,weighted_flag_score,in_slump,is_diamond,is_contact_pick,is_fallback,hr_intent_score,recent_flag_count,bvp_flag_count,vs_hand_flag_count,hist_hand_flag_count,season_pa,recent_pa,vs_hand_pa,bvp_pa,recent_games_total,recent_games_ev95,recent_games_la_sweet,recent_games_both,recent_consistency_pct,pitcher_fb_pct_allowed,pitcher_hh_pct_allowed,pitcher_pa_faced,pitcher_meatball_pct,batter_meatball_score,meatball_matchup_score,bullpen_era,bullpen_hr9,bullpen_whip,bullpen_ip,bullpen_hr_rank,discipline_flag,discipline_score,season_chase_k_pct,recent_chase_k_pct,season_bb_pct,recent_bb_pct,oz_swing_pct,sim_pa,sim_h,sim_hr,sim_hr_adj,sim_2b,sim_3b,sim_bb,sim_k,sim_tb,sim_rbi,proj_hr_adj,proj_hr_prob,proj_hit_prob,proj_xbh_prob,proj_barrel,proj_avg_tb,proj_avg_rbi,recent_hr_count,ab_since_hr,recent_consec_hr_games,barrel_quality_score,recent_pulled_barrel_pct,recent_batter_ahead_pct,recent_iso,recent_sweet_spot_pct,recent_meatball_hr_rate,season_swstr_pct,season_woba,season_xwoba,blended_woba,blended_xwoba,l7_iso,l7_woba,l7_xwoba,zone_fit,gHR,gHR_yv2,recent_iso_yv2,season_iso,ps_score,ps_score_v2,hr_yesterday,so_close_count,so_close_max_dist,so_close_max_ev,so_close_reasons,ps_convergence,ps_conv_pitch,la_stddev,la_mean_l15,la_locked,bat_speed_vs_baseline,bat_speed_peaking,pitcher_count_mb_pct,fastball_velo_decay,pitcher_velo_declining,recent_barrel_spike,season_barrel_pct,days_rest,hh_precursor,recent_barrels_3d,recent_hrs_3d,recent_pb_2d,day_late_flag,enhanced_day_late,pitcher_velo_drop,primary_pitch_hr_rate,recent_avg_ev,recent_hh_pct,recent_avg_bat_speed,recent_ev_flag,recent_barrel_pct,recent_barrel_flag,recent_fb_pct,recent_fb_flag,recent_avg_la,recent_la_flag,recent_hr_rate,recent_hit_rate,recent_xbh_rate,bvp_hr_count,bvp_hr_by_pitch,bvp_avg_ev,bvp_hh_pct,bvp_avg_bat_speed,bvp_batter_ahead_pct,bvp_ev_flag,bvp_barrel_pct,bvp_barrel_flag,bvp_fb_pct,bvp_fb_flag,bvp_avg_la,bvp_la_flag,bvp_hr_rate,bvp_hit_rate,bvp_xbh_rate,vs_hand_hr_count,vs_hand_avg_ev,vs_hand_hh_pct,vs_hand_ev_flag,vs_hand_barrel_pct,vs_hand_barrel_flag,vs_hand_fb_pct,vs_hand_fb_flag,vs_hand_avg_la,vs_hand_la_flag,vs_hand_hr_rate,vs_hand_hit_rate,vs_hand_xbh_rate,hist_hand_pa,hist_hand_hr_count,hist_hand_avg_ev,hist_hand_hh_pct,hist_hand_ev_flag,hist_hand_barrel_pct,hist_hand_barrel_flag,hist_hand_fb_pct,hist_hand_fb_flag,hist_hand_avg_la,hist_hand_la_flag,hist_hand_hr_rate,hr_factor,wind_carry_factor,wind_effect,temp_f,wind_speed_mph,condition,wind_direction_emoji,chance_of_rain,hr_factor_int,wind_carry_mph,wind_carry_factor_v2,data_anchor,pitcher_grade_label,pitcher_grade_label_vsL,pitcher_grade_label_vsR,pitcher_ip,zone_fit_season,recent_chase_pct,recent_zone_swing_pct,recent_avg_attack_angle,recent_attack_angle_stddev,recent_avg_swing_length,bvp_chase_pct,bvp_zone_swing_pct,bvp_avg_attack_angle,bvp_attack_angle_stddev,bvp_avg_swing_length,vs_hand_chase_pct,vs_hand_zone_swing_pct,vs_hand_avg_attack_angle,vs_hand_attack_angle_stddev,vs_hand_avg_swing_length,hist_hand_chase_pct,hist_hand_zone_swing_pct,hist_hand_avg_attack_angle,hist_hand_attack_angle_stddev,hist_hand_avg_swing_length,pitcher_upper_zone_pct,zone_fit_spatial,chance_of_rain_peak,is_dome,bvp_iso,bvp_pull_pct,bvp_fb350_count,pitcher_games_started,pitcher_id,batter_id,recent_7day_pa,recent_gb_pct,recent_popup_pct,recent_k_pct,recent_pulled_fb_pct,recent_pull_pct,recent_fb350_count,recent_woba,recent_pulled_fb_flag,recent_hh_precursor,bvp_gb_pct,bvp_popup_pct,bvp_k_pct,bvp_pulled_fb_pct,bvp_pulled_barrel_pct,bvp_woba,bvp_sweet_spot_pct,bvp_meatball_hr_rate,bvp_pulled_fb_flag,bvp_barrel_spike,bvp_hh_precursor,vs_hand_gb_pct,vs_hand_popup_pct,vs_hand_k_pct,vs_hand_avg_bat_speed,vs_hand_pulled_fb_pct,vs_hand_pull_pct,vs_hand_fb350_count,vs_hand_batter_ahead_pct,vs_hand_pulled_barrel_pct,vs_hand_iso,vs_hand_woba,vs_hand_sweet_spot_pct,vs_hand_meatball_hr_rate,vs_hand_pulled_fb_flag,vs_hand_barrel_spike,vs_hand_hh_precursor,hist_hand_gb_pct,hist_hand_popup_pct,hist_hand_k_pct,hist_hand_avg_bat_speed,hist_hand_hit_rate,hist_hand_xbh_rate,hist_hand_pulled_fb_pct,hist_hand_pull_pct,hist_hand_fb350_count,hist_hand_batter_ahead_pct,hist_hand_pulled_barrel_pct,hist_hand_iso,hist_hand_woba,hist_hand_sweet_spot_pct,hist_hand_meatball_hr_rate,hist_hand_pulled_fb_flag,hist_hand_barrel_spike,hist_hand_hh_precursor,hand_match_flag,platoon_adv_flag,temp_hr_mod,perfect_storm
C,1,MIN,Byron Buxton,R,0,False,"5,6",False,Keider Montero,Right,DET,DET,MIN,"FF, SI, SL, CH",01:10 PM,824226,5,0.8,True,False,False,False,0.2672,0,1,1,3,373,10,270,194,3,2,0,0,0.0,20.0,28.0,560.0,53.2,0.3362,0.0,4.55,1.23,1.41,308.3,9,⬜ Neutral,56.0,0.0,,7.4,,34.4,4.3,1.185,0.216,0.216,0.294,0.015,0.424,1.041,2.156,0.0,0.0503,0.0503,0.2759,0.1221,0.0168,0.5019,0.0,0,90,0,0,0.0,20.0,0.248,20.0,,19.6,0.367,0.348,0.367,0.0,0.111,0.373,0.0,4.811,17,17,0.248,0.257,22,22,0,0,0.0,0.0,,7.6,FF,36.33,20.3,False,0.33,False,47.7,-0.63,False,-2.95,2.9,0,0,0,0,0,0,0,-0.63,9.28,88.2,30.0,73.9,False,0.0,False,10.0,False,4.2,False,0.0,30.0,10.0,15,FF(30%):9/97pa  |  SI(24%):3/71pa  |  SL(18%):5/58pa  |  CH(14%):1/46pa,90.1,32.0,73.3,30.4,False,2.6,False,23.2,True,20.7,False,7.73,26.3,13.4,21,89.3,30.0,False,2.6,False,23.7,True,19.9,False,7.78,24.4,12.6,28,2,95.1,32.1,True,0.0,False,25.0,True,15.5,False,7.14,1.0,1.0,,,,,,,,,,2026-09-07,⚠️ Tough,🤔 Average,⚠️ Tough,143.0,4.811,60.0,90.0,7.9,7.9,7.5,49.5,85.1,12.0,9.7,7.8,49.3,84.4,13.0,9.8,7.9,,,,,,5.5,10.0,,,0.328,35.6,23.0,23,672456,621439,0,30.0,0.0,30.0,0.0,50.0,0.0,0.373,False,False,23.2,9.8,21.1,8.8,1.5,0.419,23.7,10.6,False,,False,23.3,8.5,24.8,72.8,11.1,38.1,31.0,28.9,1.5,0.312,0.388,21.5,10.9,False,,False,25.0,0.0,32.1,75.1,17.9,10.7,17.9,39.3,3.0,46.4,0.0,0.292,0.359,10.7,13.3,True,,False,0,0,1.0,0
C,1,MIN,Austin Martin,R,0,False,"5,6",False,Keider Montero,Right,DET,DET,MIN,"FF, SI, SL, CH",01:10 PM,824226,2,0.34,True,False,False,False,0.6806,1,0,0,1,316,10,172,136,2,2,0,0,0.0,20.0,28.0,560.0,53.2,0.1841,0.0,4.55,1.23,1.41,308.3,9,🟢 Disciplined,62.0,0.0,,13.1,,18.0,3.4,1.039,0.12,0.12,0.304,0.0,0.212,0.647,1.702,0.12,0.035,0.035,0.304,0.1241,0.07,0.4982,0.035,1,5,0,1,20.0,30.0,0.117,50.0,12.5,11.1,0.317,0.32,0.337,0.0,0.5,0.641,0.0,0.588,29,29,0.117,0.092,26,26,0,0,0.0,0.0,,2.0,FF,21.18,15.6,False,2.36,True,47.7,-0.63,False,18.42,1.6,4,0,2,1,2,0,0,-0.63,1.75,83.3,40.0,64.9,False,20.0,True,10.0,False,13.9,False,10.0,50.0,30.0,0,FF(30%):2/114pa  |  SI(24%):0/72pa  |  SL(18%):0/42pa  |  CH(14%):0/22pa,85.5,19.1,67.5,39.7,False,0.0,False,11.8,False,6.2,False,0.0,19.9,2.9,1,85.4,18.6,False,0.6,False,14.5,False,8.6,False,0.58,20.3,3.5,9,0,80.5,0.0,False,0.0,False,22.2,True,20.6,False,0.0,1.0,1.0,,,,,,,,,,2026-09-07,⚠️ Tough,🤔 Average,⚠️ Tough,143.0,0.588,20.0,80.0,9.6,11.4,6.4,30.1,83.8,9.5,10.5,6.5,32.0,83.1,9.3,10.9,6.5,,,,,,5.5,1.59,,,0.033,41.9,2.0,23,672456,668885,0,20.0,10.0,20.0,10.0,50.0,0.0,0.641,False,False,41.9,3.7,18.4,2.2,0.0,0.254,19.1,0.0,False,,False,37.2,3.5,20.3,66.9,3.5,38.4,5.0,37.2,0.0,0.052,0.267,19.8,1.0,False,,False,33.3,0.0,0.0,,55.6,0.0,0.0,0.0,0.0,33.3,0.0,0.0,0.804,11.1,,False,,False,0,0,1.0,0
C,1,MIN,Luke Keaschall,R,0,False,"5,6",False,Keider Montero,Right,DET,DET,MIN,"FF, SI, SL, CH",01:10 PM,824226,3,0.3,True,False,False,False,0.5289,0,0,0,3,509,33,350,263,7,6,2,2,28.6,20.0,28.0,560.0,53.2,0.2214,0.0,4.55,1.23,1.41,308.3,9,🟢 Disciplined,59.0,0.0,,9.5,,22.8,4.0,0.972,0.069,0.069,0.213,0.0,0.67,0.493,1.393,0.246,0.0173,0.0173,0.243,0.0706,0.0205,0.3483,0.0615,0,27,0,2,3.0,24.2,0.107,18.2,0.0,10.0,0.347,0.33,0.351,0.0,0.074,0.367,0.0,1.12,14,14,0.107,0.114,15,15,0,5,362.0,105.1,deep line drive 330ft 105mph | double 105mph EV | rocket LD 100mph | double 84mph EV | deep fly ball 349ft 99mph | deep ,2.7,FF,21.85,11.3,False,-0.38,False,47.7,-0.63,False,1.62,1.4,0,0,0,0,0,0,0,-0.63,3.27,88.0,24.2,68.6,False,3.0,False,15.2,False,16.1,False,0.0,24.2,6.1,7,FF(30%):5/153pa  |  SI(24%):1/109pa  |  SL(18%):1/75pa  |  CH(14%):1/42pa,86.0,24.3,69.1,40.7,False,1.5,False,19.0,False,16.9,False,2.66,24.3,7.6,7,85.1,22.6,False,1.1,False,21.4,False,18.5,False,2.0,23.7,6.6,15,2,96.3,66.7,True,13.3,True,20.0,False,18.6,False,13.33,1.0,1.0,,,,,,,,,,2026-09-07,⚠️ Tough,🤔 Average,⚠️ Tough,143.0,1.12,39.4,81.8,8.2,10.7,6.4,30.8,78.3,9.1,11.5,6.6,33.4,78.9,10.1,11.3,6.7,,,,,,5.5,2.55,,,0.157,34.6,13.0,23,672456,807712,33,33.3,9.1,9.1,3.0,30.3,1.0,0.367,False,False,25.9,5.3,14.1,3.8,1.1,0.38,25.9,3.4,False,,False,25.4,6.3,14.3,68.2,5.1,34.9,17.0,39.1,0.9,0.13,0.354,25.7,2.6,False,,False,20.0,13.3,0.0,,33.3,20.0,20.0,53.3,3.0,33.3,13.3,0.5,0.531,66.7,16.7,True,,False,0,0,1.0,0
A,3,MIN,Ryan Jeffers,R,0,False,"5,6",False,Keider Montero,Right,DET,DET,MIN,"FF, SI, SL, CH",01:10 PM,824226,6,1.8,False,False,False,False,0.5683,3,1,1,1,301,30,192,126,7,7,3,3,42.9,20.0,28.0,560.0,53.2,0.4009,0.0,4.55,1.23,1.41,308.3,9,🟢 Disciplined,62.0,0.0,,12.1,,25.1,3.9,0.919,0.324,0.324,0.207,0.046,0.459,0.651,2.187,0.769,0.0828,0.0828,0.2351,0.1474,0.0879,0.5597,0.1967,4,6,0,2,10.0,40.0,0.284,33.3,17.6,7.6,0.379,0.378,0.39,0.0,0.556,0.447,0.0,4.173,40,40,0.284,0.229,25,25,0,5,410.0,104.6,triple 88mph EV | deep line drive 347ft 93mph | double 104mph EV | deep fly ball 369ft 94mph | deep fly ball 410ft 105mp,7.8,FF,30.29,13.9,False,0.8,False,47.7,-0.63,False,8.32,5.0,0,0,2,1,0,0,0,-0.63,2.11,92.5,40.0,72.1,False,13.3,True,26.7,True,13.5,False,13.33,20.0,20.0,7,FF(30%):2/95pa  |  SI(24%):3/48pa  |  SL(18%):2/35pa  |  CH(14%):0/26pa,89.0,33.3,73.5,37.3,False,6.3,True,19.0,False,12.7,False,5.56,25.4,11.9,11,88.4,29.7,False,6.2,True,20.8,False,13.9,False,5.73,22.9,12.0,28,1,83.5,17.9,False,3.6,False,32.1,True,19.2,False,3.57,1.0,1.0,,,,,,,,,,2026-09-07,⚠️ Tough,🤔 Average,⚠️ Tough,143.0,4.173,46.7,73.3,8.3,7.2,7.1,37.3,80.2,6.6,8.2,7.0,43.8,79.2,8.2,8.1,7.1,,,,,,5.5,7.22,,,0.266,34.9,10.0,23,672456,680777,30,30.0,0.0,16.7,16.7,40.0,5.0,0.447,True,False,32.5,5.6,16.7,5.6,2.4,0.406,22.2,7.1,False,,False,28.6,4.7,17.2,71.6,7.3,34.4,18.0,38.0,3.1,0.275,0.386,25.5,9.7,False,,False,32.1,10.7,10.7,70.4,25.0,3.6,10.7,39.3,0.0,21.4,3.6,0.107,0.264,21.4,5.9,False,,False,0,0,1.0,0
B,2,MIN,Josh Bell,L,0,False,"5,6",False,Keider Montero,Right,DET,DET,MIN,"FF, SI, SL, CH",01:10 PM,824226,4,1.0,False,False,False,False,0.4376,2,0,0,2,530,30,364,263,7,6,2,1,14.3,20.0,28.0,560.0,53.2,0.1245,0.0,4.55,1.23,1.41,308.3,9,⬜ Neutral,56.0,0.0,,8.0,,30.0,4.1,0.913,0.127,0.127,0.168,0.01,0.45,0.708,1.483,0.107,0.0314,0.0314,0.225,0.0752,0.048,0.3656,0.0265,1,11,0,2,3.3,53.3,0.163,26.7,0.0,14.0,0.319,0.33,0.325,0.0,0.154,0.352,0.0,1.956,30,30,0.163,0.165,23,23,0,6,388.0,111.7,deep fly ball 342ft 91mph | rocket LD 100mph | rocket LD 112mph | deep fly ball 367ft 98mph | double 105mph EV | rocket ,11.5,SI,38.66,10.1,False,-0.56,False,47.7,-0.63,False,3.68,3.0,0,0,1,0,0,0,0,-0.63,3.85,93.9,40.0,70.4,True,6.7,True,20.0,False,12.0,False,3.33,23.3,6.7,8,FF(30%):7/182pa  |  SI(24%):1/71pa  |  SL(18%):2/43pa  |  CH(14%):1/95pa,91.8,33.8,71.8,39.2,False,3.8,False,17.9,False,12.5,False,3.04,22.1,8.0,11,91.0,31.0,False,3.3,False,16.8,False,12.2,False,3.02,21.2,8.0,31,2,84.2,22.6,False,6.5,True,25.8,True,14.6,False,6.45,1.0,1.0,,,,,,,,,,2026-09-07,⚠️ Tough,🤔 Average,⚠️ Tough,143.0,1.956,56.7,63.3,9.8,7.9,7.7,46.8,81.7,9.8,8.0,7.8,50.0,81.6,10.4,8.2,7.9,,,,,,5.5,4.87,,,0.163,39.2,18.0,23,672456,605137,30,26.7,3.3,16.7,6.7,33.3,3.0,0.352,False,False,31.6,5.3,17.9,4.6,1.5,0.324,24.7,4.4,False,,False,30.8,5.5,21.2,71.0,5.5,38.5,24.0,37.9,1.6,0.161,0.317,23.6,4.3,False,,False,19.4,3.2,29.0,69.7,9.7,6.5,9.7,35.5,5.0,25.8,0.0,0.231,0.277,19.4,15.4,False,,False,0,1,1.0,0
C,1,MIN,Victor Caratini,L,0,False,"5,6",False,Keider Montero,Right,DET,DET,MIN,"FF, SI, SL, CH",01:10 PM,824226,4,0.44,True,False,False,False,0.4304,1,0,0,3,316,10,216,165,4,3,0,0,0.0,20.0,28.0,560.0,53.2,0.059,0.0,4.55,1.23,1.41,308.3,9,🟢 Disciplined,59.0,0.0,,10.3,,25.1,3.5,0.569,0.028,0.028,0.042,0.0,0.498,0.43,0.694,0.275,0.0079,0.0079,0.1611,0.0197,0.0039,0.1965,0.0779,0,99,0,0,0.0,60.0,0.102,10.0,0.0,13.6,0.284,0.325,0.28,0.0,0.0,0.228,0.0,1.12,12,12,0.102,0.102,29,29,0,0,0.0,0.0,,9.4,SL,19.21,11.3,False,1.49,False,47.7,-0.63,False,-2.53,2.5,3,0,0,0,0,0,0,-0.63,1.77,91.4,30.0,72.2,False,0.0,False,10.0,False,25.0,True,0.0,10.0,0.0,2,FF(30%):2/113pa  |  SI(24%):0/53pa  |  SL(18%):1/31pa  |  CH(14%):0/44pa,89.8,29.7,69.3,35.8,False,0.6,False,15.2,False,10.5,False,1.21,19.4,3.0,4,89.6,27.3,False,1.9,False,15.3,False,11.8,False,1.85,19.4,5.1,14,2,89.5,21.4,False,7.1,True,28.6,True,15.3,False,14.29,1.0,1.0,,,,,,,,,,2026-09-07,⚠️ Tough,🤔 Average,⚠️ Tough,143.0,1.12,50.0,90.0,14.9,4.8,6.9,38.8,80.6,8.5,8.3,6.6,37.5,81.0,8.9,8.7,6.7,0.0,100.0,,,,5.5,3.2,,,0.063,33.9,5.0,23,672456,605170,1,30.0,20.0,10.0,10.0,50.0,0.0,0.228,False,False,36.4,3.6,13.9,6.1,0.6,0.271,26.1,1.1,False,,False,33.3,3.7,16.2,69.2,5.6,30.6,8.0,35.6,1.4,0.104,0.296,25.9,2.3,False,,False,28.6,0.0,21.4,70.8,21.4,14.3,21.4,50.0,2.0,35.7,7.1,0.5,0.463,28.6,22.2,True,,False,0,1,1.0,0
D,0,MIN,Matt Wallner,L,0,False,"5,6",False,Keider Montero,Right,DET,DET,MIN,"FF, SI, SL, CH",01:10 PM,824226,1,0.1,True,False,False,False,0.0512,0,0,0,1,101,10,68,49,3,0,0,0,0.0,20.0,28.0,560.0,53.2,0.1106,0.0,4.55,1.23,1.41,308.3,9,🟢 Disciplined,62.0,0.0,,12.2,,31.6,3.9,0.308,0.051,0.051,0.0,0.0,0.41,1.937,0.462,0.0,0.0133,0.0133,0.0796,0.0133,0.0,0.1194,0.0,0,14,0,0,0.0,10.0,0.125,0.0,0.0,24.8,0.222,0.282,0.222,0.0,0.0,0.0,0.0,0.985,7,7,0.125,0.125,21,21,0,0,0.0,0.0,,9.8,SI,36.28,21.8,False,-0.28,False,47.7,-0.63,False,0.0,0.0,3,0,0,0,0,0,0,-0.63,0.0,71.9,0.0,75.0,False,0.0,False,0.0,False,-19.0,False,0.0,0.0,0.0,1,FF(30%):0/29pa  |  SI(24%):1/19pa  |  SL(18%):0/16pa  |  CH(14%):0/11pa,87.3,18.4,73.1,38.8,False,0.0,False,4.1,False,-1.0,False,2.04,12.2,2.0,1,87.0,16.2,False,0.0,False,5.9,False,4.2,False,1.47,11.8,1.5,36,1,90.5,30.6,False,2.8,False,27.8,True,20.1,False,2.78,1.0,1.0,,,,,,,,,,2026-09-07,⚠️ Tough,🤔 Average,⚠️ Tough,143.0,0.985,60.0,90.0,7.7,17.0,7.3,55.1,93.9,8.2,8.5,7.2,52.9,91.2,10.4,9.5,7.4,,,,,,5.5,3.56,,,0.073,34.7,1.0,23,672456,670242,0,10.0,0.0,90.0,0.0,0.0,0.0,0.0,False,False,36.7,2.0,28.6,0.0,0.0,0.248,14.3,0.0,False,,False,30.9,4.4,35.3,73.5,1.5,32.4,1.0,32.4,0.0,0.051,0.215,11.8,0.0,False,,False,19.4,2.8,25.0,76.3,16.7,8.3,13.9,33.3,2.0,36.1,2.8,0.172,0.339,13.9,5.0,False,,False,0,1,1.0,0
B,2,MIN,Brooks Lee,L,0,False,"5,6",False,Keider Montero,Right,DET,DET,MIN,"FF, SI, SL, CH",01:10 PM,824226,6,1.5,False,False,False,False,0.5454,2,1,1,2,539,31,368,279,7,7,2,2,28.6,20.0,28.0,560.0,53.2,0.1877,0.0,4.55,1.23,1.41,308.3,9,⬜ Neutral,56.0,0.0,,6.0,,34.5,4.1,0.998,0.208,0.208,0.113,0.019,0.237,0.407,1.773,0.439,0.0509,0.0509,0.2441,0.0832,0.0412,0.4337,0.1073,1,4,0,2,6.5,29.0,0.179,35.5,5.0,10.9,0.325,0.295,0.321,0.0,0.138,0.302,0.0,2.965,34,34,0.179,0.188,27,27,0,9,384.0,106.2,deep fly ball 366ft 98mph | deep fly ball 336ft 91mph | deep fly ball 348ft 92mph | rocket LD 106mph | deep fly ball 384,10.1,SI,24.32,16.0,False,0.85,False,47.7,-0.63,False,4.46,2.0,0,0,1,1,1,0,0,-0.63,7.64,91.9,35.5,70.1,False,6.5,True,32.3,True,17.4,False,3.23,25.8,6.5,17,FF(30%):11/144pa  |  SI(24%):2/90pa  |  SL(18%):5/72pa  |  CH(14%):1/96pa,88.7,28.7,69.4,36.2,False,2.9,False,26.5,True,16.1,False,6.09,23.7,9.3,20,88.7,29.6,False,2.4,False,25.0,True,14.4,False,5.43,24.7,10.1,15,0,96.1,53.3,True,0.0,False,33.3,True,14.0,False,0.0,1.0,1.0,,,,,,,,,,2026-09-07,⚠️ Tough,🤔 Average,⚠️ Tough,143.0,2.965,54.8,90.3,9.1,7.7,6.8,42.7,86.7,8.1,8.3,6.8,42.9,87.0,8.0,8.3,6.8,,,,,,5.5,7.43,,,0.241,46.6,20.0,23,672456,686797,31,25.8,6.5,6.5,9.7,41.9,3.0,0.302,False,False,30.8,5.4,11.8,10.8,2.5,0.349,26.5,7.6,False,,False,32.3,4.9,12.2,68.3,10.9,47.8,29.0,32.3,2.2,0.233,0.348,27.4,6.7,False,,False,40.0,0.0,6.7,69.6,13.3,0.0,6.7,33.3,2.0,33.3,0.0,0.0,0.213,20.0,0.0,False,,False,0,1,1.0,0
C,1,MIN,Ryan Kreidler,R,0,False,"5,6",False,Keider Montero,Right,DET,DET,MIN,"FF, SI, SL, CH",01:10 PM,824226,1,0.4,False,False,False,False,0.3093,1,0,0,0,233,10,129,90,6,2,1,1,16.7,20.0,28.0,560.0,53.2,0.2874,0.0,4.55,1.23,1.41,308.3,9,⬜ Neutral,56.0,0.0,,6.9,,29.3,2.9,0.42,0.042,0.042,0.042,0.042,0.39,0.789,0.673,0.0,0.0144,0.0144,0.1444,0.0433,0.0289,0.2311,0.0,0,9,0,0,0.0,30.0,0.148,10.0,,15.9,0.277,0.285,0.273,0.0,0.0,0.212,0.0,1.716,13,13,0.148,0.148,16,16,0,1,375.0,97.2,deep fly ball 375ft 97mph,4.0,FF,22.07,8.3,False,-2.37,False,47.7,-0.63,False,-3.43,3.4,0,0,0,0,0,0,0,-0.63,4.55,92.6,20.0,71.3,False,0.0,False,30.0,True,30.0,False,0.0,0.0,0.0,2,FF(30%):3/66pa  |  SI(24%):1/45pa  |  SL(18%):0/31pa  |  CH(14%):0/23pa,87.1,22.2,73.7,36.7,False,4.4,False,18.9,False,9.1,False,2.22,22.2,6.7,3,85.2,21.7,False,4.7,False,20.2,False,10.6,False,2.33,22.5,7.8,20,0,83.1,20.0,False,0.0,False,20.0,False,17.2,False,0.0,1.0,1.0,,,,,,,,,,2026-09-07,⚠️ Tough,🤔 Average,⚠️ Tough,143.0,1.716,60.0,80.0,13.8,10.2,7.9,36.7,90.0,9.9,7.6,7.8,43.4,89.9,10.9,9.2,7.8,,,,,,5.5,3.73,,,0.14,37.8,7.0,23,672456,668952,10,10.0,0.0,30.0,10.0,10.0,1.0,0.212,False,False,34.4,3.3,25.6,4.4,1.1,0.279,21.1,2.1,False,,False,32.6,3.9,27.1,71.9,6.2,36.4,12.0,29.5,1.6,0.154,0.283,20.2,3.1,False,,False,30.0,0.0,35.0,62.1,15.0,0.0,5.0,30.0,0.0,15.0,0.0,0.0,0.167,25.0,0.0,False,,False,0,0,1.0,0
C,1,MIN,Trevor Larnach,L,0,False,"5,6",False,Keider Montero,Right,DET,DET,MIN,"FF, SI, SL, CH",01:10 PM,824226,2,0.34,True,False,False,False,0.6341,1,0,0,1,401,21,347,247,7,3,1,0,0.0,20.0,28.0,560.0,53.2,0.3346,0.0,4.55,1.23,1.41,308.3,9,🟢 Disciplined,59.0,0.0,,9.3,,29.9,3.6,0.938,0.117,0.117,0.203,0.009,0.32,0.834,1.512,0.149,0.0325,0.0325,0.2596,0.0912,0.0298,0.4184,0.0412,1,0,1,3,4.8,28.6,0.167,23.8,9.1,13.7,0.345,0.33,0.346,0.0,0.211,0.355,0.0,2.969,31,31,0.167,0.161,23,23,0,2,378.0,107.9,deep line drive 378ft 108mph | double 108mph EV | deep line drive 344ft 90mph,8.3,SI,35.98,9.5,False,0.48,False,47.7,-0.63,False,2.8,2.0,0,0,0,1,0,0,0,-0.63,2.17,94.7,23.8,72.0,True,4.8,False,14.3,False,13.5,False,4.76,23.8,9.5,6,FF(30%):3/138pa  |  SI(24%):3/60pa  |  SL(18%):2/39pa  |  CH(14%):0/47pa,88.1,28.3,70.5,35.2,False,2.0,False,17.8,False,13.7,False,2.43,27.1,8.9,10,88.6,27.4,False,2.3,False,16.7,False,14.0,False,2.88,25.4,8.9,31,1,87.4,29.0,False,3.2,False,25.8,True,8.1,False,3.23,1.0,1.0,,,,,,,,,,2026-09-07,⚠️ Tough,🤔 Average,⚠️ Tough,143.0,2.969,42.9,81.0,9.5,12.6,7.1,41.7,80.2,3.5,11.5,6.8,44.1,79.8,5.2,11.7,6.9,0.0,100.0,,,,5.5,4.83,,,0.155,37.7,13.0,23,672456,663616,21,19.0,0.0,38.1,9.5,28.6,1.0,0.355,False,False,30.0,7.3,15.0,6.1,0.8,0.358,30.0,4.4,False,,False,28.2,6.3,17.9,70.6,6.6,38.3,19.0,35.7,1.4,0.167,0.358,28.0,5.2,False,,False,38.7,3.2,12.9,71.2,16.1,3.2,9.7,41.9,2.0,25.8,3.2,0.107,0.249,22.6,5.9,False,,False,0,1,1.0,0
